generation,best_element_fitness,population_fitness_std,time_to_run_generation
1,-62.59909810886131,36.83269179523118,63.05769872665405
2,-9.156359251647814,33.326903603328645,57.538551330566406
3,-56.71827591458013,31.223546650427384,51.95109724998474
4,-40.00762290931821,30.07153257908177,51.39901089668274
5,-5.685624180562073,29.569746244641554,50.112598180770874
6,1.0703283155044545,26.738755251222074,48.985082387924194
7,-43.22976636610275,27.945871233071458,48.15677762031555
8,-43.19242606778707,30.116918229686018,48.39734721183777
9,-10.69887263048388,29.109014851279657,47.475120544433594
10,-17.275299466057483,29.699376470009668,48.32457423210144
11,-15.300214158816823,29.059897761548662,47.34212064743042
12,-4.515579175667847,27.332796062400003,46.259655475616455
13,11.223979128827597,26.06312776434495,46.92216205596924
14,12.021618237249731,26.23139615066543,47.04412651062012
15,79.17858608215249,25.40872209301842,46.20118832588196
16,14.381117515716232,24.1930776359926,48.78494715690613
17,28.291909242925204,24.904554562828558,46.13620376586914
18,35.23739106918081,24.08050748149571,45.987329959869385
19,16.57391164331692,23.732401753006975,46.754544496536255
20,29.692916609498553,22.980859646546254,45.89117431640625
21,25.12560826302253,21.92115499958488,47.07200646400452
22,58.25021713784552,22.91268174404065,45.99490237236023
23,40.75014421183823,21.402204304383663,45.0495662689209
24,54.370139038647025,20.896095883765085,45.041344165802
25,65.47722167845647,19.461359081875923,46.26736617088318
26,58.95293698272595,17.26328300806239,47.71793985366821
27,94.4731733622444,15.484211711130389,50.28786516189575
28,89.21373624880478,12.074534600754186,53.25074338912964
29,119.95683093777768,10.942801199533163,57.989901304244995
30,112.98571440088816,10.657008689236111,58.03826856613159
31,145.59341170166857,11.787587679797527,63.80775690078735
32,120.47108238906192,13.5619686254825,68.15694046020508
33,112.08368263592847,10.774568760259319,67.97207999229431
34,82.60416834217733,11.756403494010948,72.87622785568237
35,135.34793941265787,14.730435653299098,79.3987467288971
36,119.73196710318871,14.692405115704092,85.09302496910095
37,123.96817029840288,19.48168166482361,93.29568910598755
38,130.4016561148153,17.09528494523868,91.22485756874084
39,142.26197942183418,21.969900953576897,104.70843863487244
40,132.58911953496008,21.86652970034296,109.72389316558838
41,147.59984907577225,25.413732734670333,113.04675078392029
42,143.83289372408075,26.56967154472428,123.42933392524719
43,133.12272865578024,26.586380921175174,125.12657880783081
44,151.6023784560055,29.710489457726442,132.3222336769104
45,129.40533679614572,27.74420279350261,134.22834944725037
46,171.08156350541958,29.394340062865854,130.9858329296112
47,141.26188137444578,30.27527611312382,145.56525540351868
48,156.45412117787532,31.018103424047663,150.16627883911133
49,129.89447803016657,29.934494841114056,143.14016342163086
50,164.45328967860547,32.06309305224428,157.0253827571869
51,202.09858016776155,33.461965159020714,154.89210867881775
52,189.38652460121824,32.57666485314803,157.66598653793335
53,149.67504598749213,34.6850571033167,167.79668879508972
54,154.1559595760847,35.95169194546819,160.44312596321106
55,186.1499855973575,35.81869651605471,170.53301310539246
56,171.80707797324288,36.34247430478819,166.1190664768219
57,184.47540661959533,36.22204536147568,176.0473906993866
58,176.16512037492865,37.40846645685772,180.35817909240723
59,207.18191830779034,36.39412891206811,176.49478578567505
60,268.09076583517947,41.13863517148313,176.8776774406433
