generation,best_element_fitness,time_to_run_generation
1,-1.0,0
2,-2.0,6.40035605430603
3,0.0,6.27980637550354
4,10.0,6.261757135391235
5,4.0,6.63537073135376
6,0.0,6.290078163146973
7,1.0,6.3172760009765625
8,1.0,6.195802688598633
9,10.0,6.115060329437256
10,5.0,6.487227201461792
11,10.0,6.238846778869629
12,39.0,6.044811010360718
13,1.0,6.6705708503723145
14,1.0,6.214956760406494
15,1.0,6.745694160461426
16,27.0,6.6134397983551025
17,22.0,6.858651638031006
18,29.0,6.991451740264893
19,14.0,7.44104266166687
20,16.0,6.936483144760132
21,39.0,6.963810920715332
22,43.0,7.71007227897644
23,47.0,9.206679344177246
24,9.0,8.396978378295898
25,24.0,7.395233869552612
26,29.0,8.308400630950928
27,13.0,8.461007595062256
28,23.0,7.587645530700684
29,36.0,8.727745771408081
30,67.0,8.450360298156738
31,15.0,9.055876016616821
32,22.0,8.6937415599823
33,18.0,8.916268825531006
34,36.0,9.132193326950073
35,59.0,10.04492998123169
36,21.0,11.526017904281616
37,34.0,10.768779277801514
38,50.0,10.978516101837158
39,18.0,11.995998859405518
40,70.0,11.133106470108032
41,16.0,11.10215425491333
42,16.0,10.120656490325928
43,18.0,10.38017988204956
44,12.0,9.353598356246948
45,58.0,9.993566036224365
46,12.0,11.101762771606445
47,41.0,10.3453688621521
48,129.0,12.165191888809204
49,57.0,12.989881753921509
50,231.0,13.261688947677612
51,223.0,17.541351318359375
52,250.0,22.121596097946167
53,170.0,26.344926595687866
54,441.0,30.173120260238647
55,367.0,42.50497269630432
56,294.0,41.238075494766235
57,529.0,48.374186992645264
58,391.0,62.57665657997131
59,411.0,65.29383969306946
60,323.0,75.99745655059814
61,558.0,62.49655055999756
62,579.0,68.01907801628113
63,243.0,73.44497680664062
64,316.0,65.20333099365234
65,663.0,75.10279035568237
66,358.0,86.3874888420105
67,471.0,76.22267961502075
68,678.0,96.39404034614563
69,799.0,93.07452654838562
70,318.0,92.03124642372131
71,393.0,67.95224905014038
72,322.0,80.69288206100464
73,645.0,83.58516454696655
74,1048.0,89.45950317382812
75,819.0,93.15073943138123
76,484.0,99.42729234695435
77,283.0,98.21139192581177
78,634.0,85.78606295585632
79,559.0,109.6312563419342
80,576.0,109.12322044372559
81,844.0,110.12446594238281
82,769.0,99.87116813659668
83,619.0,105.62996244430542
84,360.0,94.76892495155334
85,682.0,81.85565042495728
86,378.0,86.82277536392212
87,379.0,79.84047412872314
88,610.0,110.21132397651672
89,301.0,128.02055549621582
90,430.0,97.69229888916016
91,358.0,108.4453957080841
92,771.0,97.40061163902283
93,474.0,110.04035115242004
94,480.0,92.80976963043213
95,453.0,101.55920815467834
96,507.0,77.06218671798706
97,273.0,110.88697457313538
98,876.0,78.01979446411133
99,556.0,107.34727072715759
100,1005.0,111.68074131011963
